cold=cold/dump base=0 T=3712 tok0=0
warm=warm/dump base=72 T=464 tok0=3248
overlap tokens [3248,3712)  N=464  cold_rows[3248:3712] warm_rows[0:464]
 21 ssm  post_gdn         4.800e-01   0.883210125   3.285e-01     no    4751359      0  (464, 10240)
 21 ssm  post_moe         4.880e-01   0.879241885   3.200e-01     no    4751360      0  (464, 10240)
 22 ssm  in               4.880e-01   0.879241885   3.200e-01     no    4751360      0  (464, 10240)
 22 ssm  hc_pre_mixed     5.678e-01   0.840188875   4.719e+00     no    1182811      0  (464, 2560)
 22 ssm  hc_pre_inj       1.004e-01   0.995405995   1.431e-01     no       1769      0  (464, 4)
 22 ssm  qkvz_preconv     2.104e-01   0.977942122   1.107e+01     no    7519750      0  (464, 16384)
 22 ssm  gates            8.782e-02   0.996141468   8.322e-01     no      43796      0  (464, 96)
 22 ssm  post_conv        2.160e-01   0.977003179   2.617e+00     no    4709744      0  (464, 10240)
 22 ssm  raw_recur        2.003e-01   0.979995604   2.974e-01     no    2828005      0  (464, 6144)
 22 ssm  pre_out_proj     3.427e-01   0.941563921   1.696e+00     no    2834795      0  (464, 6144)
 22 ssm  block_out        2.925e-01   0.956555342   1.725e+00     no    1180436      0  (464, 2560)
 22 ssm  post_gdn         3.903e-01   0.921909464   5.394e-01     no    4751360      0  (464, 10240)
 22 ssm  post_moe         4.044e-01   0.916286505   5.472e-01     no    4751359      0  (464, 10240)
 23 attn attn_in          4.044e-01   0.916286505   5.472e-01     no    4751359      0  (464, 10240)
 23 attn post_attn        4.071e-01   0.915103044   6.156e-01     no    4751360      0  (464, 10240)
 24 ssm  in               4.221e-01   0.908698450   6.071e-01     no    4751359      0  (464, 10240)
 24 ssm  hc_pre_mixed     6.759e-01   0.772079799   5.604e+00     no    1184386      0  (464, 2560)
 24 ssm  hc_pre_inj       1.425e-01   0.990017893   7.661e-01     no       1804      0  (464, 4)
 24 ssm  qkvz_preconv     2.603e-01   0.965859128   9.562e+00     no    7537617      0  (464, 16384)
 24 ssm  gates            8.957e-02   0.995995399   7.415e-01     no      44391      0  (464, 96)
 24 ssm  post_conv        3.545e-01   0.937786229   4.152e+00     no    4725383      0  (464, 10240)
 24 ssm  raw_recur        1.652e-01   0.986281123   6.055e-02     no    2840126      0  (464, 6144)
 24 ssm  pre_out_proj     5.414e-01   0.855676694   4.014e-01     no    2842541      0  (464, 6144)
 24 ssm  block_out        5.464e-01   0.851841814   3.604e-01     no    1183742      0  (464, 2560)
 24 ssm  post_gdn         4.141e-01   0.912083099   5.898e-01     no    4751360      0  (464, 10240)
 24 ssm  post_moe         4.285e-01   0.905875195   5.877e-01     no    4751359      0  (464, 10240)
 25 ssm  in               4.285e-01   0.905875195   5.877e-01     no    4751359      0  (464, 10240)
 25 ssm  hc_pre_mixed     7.529e-01   0.716548702   6.922e+00     no    1184642      0  (464, 2560)
 25 ssm  hc_pre_inj       1.620e-01   0.986883583   1.340e-01     no       1794      0  (464, 4)
 25 ssm  qkvz_preconv     3.823e-01   0.926439351   1.600e+01     no    7551423      0  (464, 16384)
 25 ssm  gates            8.637e-02   0.996291130   8.445e-01     no      44496      0  (464, 96)
 25 ssm  post_conv        4.613e-01   0.892374361   2.914e+00     no    4728874      0  (464, 10240)
 25 ssm  raw_recur        2.778e-01   0.961934354   3.033e-02     no    2838883      0  (464, 6144)
 25 ssm  pre_out_proj     5.635e-01   0.842307156   1.239e+00     no    2841637      0  (464, 6144)
 25 ssm  block_out        7.865e-01   0.696635113   7.090e-01     no    1184739      0  (464, 2560)
 25 ssm  post_gdn         4.264e-01   0.906783834   5.747e-01     no    4751360      0  (464, 10240)
 25 ssm  post_moe         4.486e-01   0.896855168   5.786e-01     no    4751360      0  (464, 10240)
 26 ssm  in               4.486e-01   0.896855168   5.786e-01     no    4751360      0  (464, 10240)
 26 ssm  hc_pre_mixed     7.855e-01   0.691307418   6.172e+00     no    1184795      0  (464, 2560)
 26 ssm  hc_pre_inj       1.459e-01   0.989449053   1.352e-01     no       1794      0  (464, 4)
 26 ssm  qkvz_preconv     3.944e-01   0.921646652   1.314e+01     no    7553151      0  (464, 16384)
 26 ssm  gates            9.032e-02   0.995956241   8.945e-01     no      44518      0  (464, 96)
 26 ssm  post_conv        4.432e-01   0.900458579   2.957e+00     no    4724585      0  (464, 10240)
 26 ssm  raw_recur        2.711e-01   0.963286855   5.408e-02     no    2838800      0  (464, 6144)
 26 ssm  pre_out_proj     5.849e-01   0.829454098   1.055e+00     no    2842162      0  (464, 6144)
 26 ssm  block_out        8.325e-01   0.659536778   9.321e-01     no    1185043      0  (464, 2560)
 26 ssm  post_gdn         4.495e-01   0.896388320   5.732e-01     no    4751360      0  (464, 10240)
 26 ssm  post_moe         4.779e-01   0.883058552   5.750e-01     no    4751359      0  (464, 10240)
 27 attn attn_in          4.779e-01   0.883058552   5.750e-01     no    4751359      0  (464, 10240)
 27 attn post_attn        4.770e-01   0.883538520   6.043e-01     no    4751358      0  (464, 10240)
 28 ssm  in               5.023e-01   0.870926093   6.089e-01     no    4751360      0  (464, 10240)
 28 ssm  hc_pre_mixed     8.400e-01   0.646811142   6.307e+00     no    1185095      0  (464, 2560)
 28 ssm  hc_pre_inj       1.578e-01   0.988246339   1.728e-01     no       1789      0  (464, 4)
 28 ssm  qkvz_preconv     4.091e-01   0.916588117   1.179e+01     no    7557362      0  (464, 16384)
 28 ssm  gates            6.487e-02   0.997898510   7.218e-01     no      44365      0  (464, 96)
 28 ssm  post_conv        5.057e-01   0.872481140   2.685e+00     no    4728098      0  (464, 10240)
 28 ssm  raw_recur        3.160e-01   0.949161274   1.831e-02     no    2841028      0  (464, 6144)
 28 ssm  pre_out_proj     6.980e-01   0.754965635   1.551e+00     no    2843237      0  (464, 6144)
 28 ssm  block_out        8.725e-01   0.617504035   9.375e-01     no    1185120      0  (464, 2560)
 28 ssm  post_gdn         5.101e-01   0.866864432   6.105e-01     no    4751360      0  (464, 10240)
 28 ssm  post_moe         5.293e-01   0.856816121   6.391e-01     no    4751360      0  (464, 10240)
 29 ssm  in               5.293e-01   0.856816121   6.391e-01     no    4751360      0  (464, 10240)
 29 ssm  hc_pre_mixed     8.238e-01   0.658040363   7.141e+00     no    1185110      0  (464, 2560)
 29 ssm  hc_pre_inj       1.443e-01   0.990056941   4.888e-01     no       1815      0  (464, 4)
 29 ssm  qkvz_preconv     4.075e-01   0.916765602   1.380e+01     no    7559756      0  (464, 16384)
 29 ssm  gates            8.823e-02   0.996117315   7.929e-01     no      44524      0  (464, 96)
 29 ssm  post_conv        5.211e-01   0.864481754   2.395e+00     no    4735419      0  (464, 10240)
 29 ssm  raw_recur        3.475e-01   0.939442134   2.010e-02     no    2842809      0  (464, 6144)
 29 ssm  pre_out_proj     7.412e-01   0.722638062   6.973e-01     no    2844811      0  (464, 6144)
 29 ssm  block_out        9.193e-01   0.578146720   3.828e-01     no    1185525      0  (464, 2560)
 29 ssm  post_gdn         5.371e-01   0.852696762   6.551e-01     no    4751359      0  (464, 10240)
 29 ssm  post_moe         5.794e-01   0.828914493   7.074e-01     no    4751359      0  (464, 10240)
 30 ssm  in               5.794e-01   0.828914493   7.074e-01     no    4751359      0  (464, 10240)
 30 ssm  hc_pre_mixed     8.803e-01   0.608738872   7.406e+00     no    1185321      0  (464, 2560)
 30 ssm  hc_pre_inj       1.424e-01   0.990475624   4.019e-01     no       1818      0  (464, 4)
 30 ssm  qkvz_preconv     4.946e-01   0.877479216   1.269e+01     no    7565236      0  (464, 16384)
 30 ssm  gates            7.110e-02   0.997473176   7.109e-01     no      44494      0  (464, 96)
 30 ssm  post_conv        6.408e-01   0.795788081   2.562e+00     no    4735799      0  (464, 10240)
 30 ssm  raw_recur        3.126e-01   0.951711013   2.893e-02     no    2842121      0  (464, 6144)
 30 ssm  pre_out_proj     6.961e-01   0.758232845   1.102e+00     no    2844341      0  (464, 6144)
 30 ssm  block_out        9.335e-01   0.567506850   8.594e-01     no    1185456      0  (464, 2560)
 30 ssm  post_gdn         6.017e-01   0.815891423   8.090e-01     no    4751360      0  (464, 10240)
 30 ssm  post_moe         6.583e-01   0.779754017   8.596e-01     no    4751360      0  (464, 10240)
