  L stage                 relL2       cosine       maxabs
 23 hc_pre_mixed      7.162e-02  0.997434963    2.517e-01
 23 hc_pre_inj        3.110e-03  0.999995176    8.572e-04
 23 qkvz_preconv      3.118e-02  0.999514139    2.734e-01
 23 gates             5.642e-03  0.999984544    1.606e-02
 23 post_conv         2.343e-02  0.999732062    3.125e-02
 23 raw_recur         1.872e-02  0.999825335    3.052e-04
 23 pre_out_proj      4.176e-02  0.999128508    2.319e-02
 23 block_out         6.374e-02  0.997982481    1.585e-02
 23 post_gdn          6.629e-02  0.997877648    1.171e-02
 23 post_moe          6.566e-02  0.997901276    1.389e-02
 23 attn_in           6.547e-02  0.997939383    8.651e-03
 23 post_attn         6.450e-02  0.998022150    8.949e-03
 24 in                6.308e-02  0.998077932    1.434e-02
 24 hc_pre_mixed      5.690e-02  0.998380393    1.693e-01
 24 hc_pre_inj        6.707e-03  0.999999920    1.848e-03
 24 qkvz_preconv      2.153e-02  0.999771210    3.125e-01
 24 gates             3.606e-03  0.999993613    8.774e-03
 24 post_conv         3.766e-02  0.999299008    9.375e-02
 24 raw_recur         1.509e-02  0.999892894    4.883e-04
 24 pre_out_proj      5.151e-02  0.998690937    2.930e-02
 24 block_out         5.960e-02  0.998222830    1.111e-02
 24 post_gdn          6.256e-02  0.998107765    1.418e-02
 24 post_moe          6.493e-02  0.997946012    1.685e-02
 25 in                6.493e-02  0.997946012    1.685e-02
 25 hc_pre_mixed      6.173e-02  0.998093119    1.641e-01
 25 hc_pre_inj        8.897e-03  0.999990254    4.703e-03
 25 qkvz_preconv      2.485e-02  0.999691998    2.656e-01
 25 gates             5.920e-03  0.999982574    1.801e-02
 25 post_conv         1.953e-02  0.999809627    3.516e-02
 25 raw_recur         2.588e-02  0.999838239    6.104e-04
 25 pre_out_proj      6.115e-02  0.998174810    2.441e-02
 25 block_out         6.965e-02  0.997609964    1.807e-02
 25 post_gdn          6.410e-02  0.997998181    1.677e-02
 25 post_moe          6.398e-02  0.997972743    1.706e-02
 26 in                6.398e-02  0.997972743    1.706e-02
 26 hc_pre_mixed      6.114e-02  0.998135529    1.562e-01
 26 hc_pre_inj        1.545e-02  0.999993981    1.034e-02
 26 qkvz_preconv      2.656e-02  0.999650337    2.734e-01
 26 gates             9.257e-03  0.999957519    2.654e-02
 26 post_conv         3.599e-02  0.999352786    4.688e-02
 26 raw_recur         1.669e-02  0.999904016    6.104e-04
 26 pre_out_proj      4.658e-02  0.998938686    1.660e-02
 26 block_out         6.011e-02  0.998211114    1.270e-02
 26 post_gdn          6.264e-02  0.998053981    1.709e-02
 26 post_moe          6.253e-02  0.998053054    1.713e-02
 27 in                6.012e-02  0.998199957    2.147e-02
 27 hc_pre_mixed      5.493e-02  0.998495125    1.445e-01
 27 hc_pre_inj        5.887e-03  1.000000000    2.920e-03
 27 qkvz_preconv      2.639e-02  0.999662547    2.500e-01
 27 gates             6.609e-03  0.999978308    1.457e-02
 27 post_conv         3.118e-02  0.999513657    8.203e-02
 27 raw_recur         1.627e-02  0.999875740    2.441e-04
 27 pre_out_proj      4.238e-02  0.999120973    8.594e-02
 27 block_out         4.696e-02  0.998903970    3.809e-02
 27 post_gdn          5.361e-02  0.998564941    2.756e-02
 27 post_moe          7.118e-02  0.997466043    4.645e-02
 27 attn_in           6.889e-02  0.997801885    1.030e-02
 27 post_attn         6.672e-02  0.997944782    1.026e-02
 28 in                7.118e-02  0.997466043    4.645e-02
 28 hc_pre_mixed      6.361e-02  0.997975768    1.445e-01
 28 hc_pre_inj        3.809e-03  0.999995389    1.554e-03
 28 qkvz_preconv      2.756e-02  0.999620135    2.344e-01
 28 gates             9.513e-03  0.999960298    1.944e-02
 28 post_conv         3.615e-02  0.999348881    7.031e-02
 28 raw_recur         1.812e-02  0.999836114    3.052e-04
 28 pre_out_proj      5.541e-02  0.998499723    2.721e-02
 28 block_out         7.123e-02  0.997528320    4.785e-02
 28 post_gdn          7.087e-02  0.997488689    4.609e-02
 28 post_moe          7.198e-02  0.997412798    4.650e-02
 29 in                7.198e-02  0.997412798    4.650e-02
 29 hc_pre_mixed      6.509e-02  0.997884640    1.632e-01
 29 hc_pre_inj        1.868e-02  0.999999797    7.393e-03
 29 qkvz_preconv      2.363e-02  0.999725327    2.500e-01
 29 gates             1.083e-02  0.999941457    2.232e-02
 29 post_conv         2.520e-02  0.999683450    6.250e-02
 29 raw_recur         1.157e-02  0.999938076    3.418e-03
 29 pre_out_proj      3.985e-02  0.999213461    2.734e-02
 29 block_out         5.411e-02  0.998539088    1.343e-02
 29 post_gdn          7.192e-02  0.997416730    4.649e-02
 29 post_moe          6.994e-02  0.997557226    4.632e-02
 30 in                6.761e-02  0.997712606    5.544e-02
 30 hc_pre_mixed      6.343e-02  0.998000809    2.031e-01
 30 hc_pre_inj        8.742e-03  0.999962861    5.728e-03
 30 qkvz_preconv      2.561e-02  0.999674339    4.062e-01
 30 gates             9.893e-03  0.999955719    2.601e-02
 30 post_conv         4.124e-02  0.999153560    1.172e-01
 30 raw_recur         2.032e-02  0.999828550    2.930e-03
 30 pre_out_proj      5.129e-02  0.998690223    2.930e-02
 30 block_out         6.038e-02  0.998193977    2.148e-02
 30 post_gdn          6.667e-02  0.997776688    5.554e-02
 30 post_moe          7.603e-02  0.997107109    6.017e-02
 31 in                7.603e-02  0.997107109    6.017e-02
 31 hc_pre_mixed      6.981e-02  0.997562757    2.285e-01
 31 hc_pre_inj        7.935e-03  0.999968554    5.896e-03
 31 qkvz_preconv      2.898e-02  0.999583456    3.750e-01
 31 gates             1.061e-02  0.999944348    2.649e-02
 31 post_conv         4.497e-02  0.998992189    8.594e-02
 31 raw_recur         3.183e-02  0.999637031    5.859e-03
 31 pre_out_proj      6.302e-02  0.998069570    4.688e-02
 31 block_out         6.689e-02  0.997794417    3.027e-02
 31 post_gdn          7.410e-02  0.997254545    6.011e-02
 31 post_moe          7.458e-02  0.997226545    6.987e-02
 31 attn_in           6.566e-02  0.997901276    1.389e-02
 31 post_attn         6.382e-02  0.998030324    1.299e-02
 32 in                7.458e-02  0.997226545    6.987e-02
 32 hc_pre_mixed      7.048e-02  0.997515373    2.344e-01
 32 hc_pre_inj        1.581e-02  0.999875252    1.139e-02
 32 qkvz_preconv      3.026e-02  0.999542143    3.281e-01
 32 gates             1.237e-02  0.999923929    2.664e-02
 32 post_conv         4.707e-02  0.998900062    6.702e-02
 32 raw_recur         4.146e-02  0.999142062    7.324e-04
 32 pre_out_proj      7.549e-02  0.997155964    4.492e-02
 32 block_out         8.588e-02  0.996328339    2.588e-02
 32 post_gdn          7.291e-02  0.997351931    6.995e-02
 32 post_moe          7.060e-02  0.997516085    7.030e-02
 33 in                7.060e-02  0.997517451    6.888e-02
 33 hc_pre_mixed      7.255e-02  0.997366826    2.500e-01
 33 hc_pre_inj        6.715e-03  0.999994333    2.746e-03
 33 qkvz_preconv      2.631e-02  0.999654098    5.000e-01
 33 gates             1.509e-02  0.999892753    5.163e-02
 33 post_conv         2.367e-02  0.999722460    1.250e-01
 33 raw_recur         2.457e-02  0.999820806    3.906e-03
 33 pre_out_proj      2.546e-02  0.999683919    7.031e-02
 33 block_out         7.136e-02  0.997506286    6.055e-02
 33 post_gdn          6.919e-02  0.997613316    6.929e-02
 33 post_moe          6.953e-02  0.997587310    6.914e-02
 34 in                6.953e-02  0.997587310    6.914e-02
 34 hc_pre_mixed      6.450e-02  0.997921627    1.785e-01
 34 hc_pre_inj        9.265e-03  0.999994534    1.281e-02
 34 qkvz_preconv      2.557e-02  0.999680947    3.594e-01
 34 gates             1.005e-02  0.999949548    2.769e-02
 34 post_conv         5.060e-02  0.998720488    6.641e-02
 34 raw_recur         4.432e-02  0.999058718    1.709e-03
 34 pre_out_proj      4.133e-02  0.999145942    1.562e-01
 34 block_out         4.949e-02  0.998777684    6.836e-02
 34 post_gdn          5.622e-02  0.998430377    1.109e-01
 34 post_moe          5.616e-02  0.998434065    1.125e-01
 35 in                5.616e-02  0.998434065    1.125e-01
 35 hc_pre_mixed      6.255e-02  0.998041848    2.344e-01
 35 hc_pre_inj        1.251e-02  0.999999717    1.823e-02
 35 qkvz_preconv      2.365e-02  0.999723795    3.314e-01
 35 gates             1.881e-02  0.999823000    7.784e-02
 35 post_conv         4.706e-02  0.998904312    9.375e-02
 35 raw_recur         4.421e-02  0.999080630    7.324e-04
 35 pre_out_proj      8.862e-02  0.996102021    2.891e-01
 35 block_out         1.099e-01  0.993989301    2.656e-01
 35 post_gdn          8.846e-02  0.996170459    3.986e-01
 35 post_moe          8.832e-02  0.996183736    3.984e-01
 35 attn_in           6.253e-02  0.998053054    1.713e-02
 35 post_attn         6.052e-02  0.998175620    1.808e-02
 39 attn_in           6.994e-02  0.997557226    4.632e-02
 39 post_attn         6.849e-02  0.997654333    5.231e-02
 43 attn_in           7.060e-02  0.997516085    7.030e-02
 43 post_attn         6.992e-02  0.997564647    6.911e-02
 47 attn_in           8.832e-02  0.996183736    3.984e-01
 47 post_attn         8.774e-02  0.996233526    4.038e-01
